entity_cd,entity_name,year,subgroup_name,cohort,grad_rate
020101040002,Alfred-Almond Junior-Senior Hs,2022,Students with Disabilities,Combined,s
020101040002,Alfred-Almond Junior-Senior Hs,2022,English Language Learner,Combined,s
020101040002,Alfred-Almond Junior-Senior Hs,2022,Asian or Native Hawaiian/Other Pacific Islander,Combined,s
020101040002,Alfred-Almond Junior-Senior Hs,2022,American Indian or Alaska Native,Combined,s
020601040001,Andover Elementary School,2022,Hispanic or Latino,Combined,s
020601040001,Andover Elementary School,2022,Multiracial,Combined,s
020601040001,Andover Elementary School,2022,Economically Disadvantaged,Combined,s
020601040001,Andover Elementary School,2022,English Language Learner,Combined,s
020601040001,Andover Elementary School,2022,Black or African American,Combined,s
020601040001,Andover Elementary School,2022,Students with Disabilities,Combined,s
020601040001,Andover Elementary School,2022,Asian or Native Hawaiian/Other Pacific Islander,Combined,s
020601040001,Andover Elementary School,2022,American Indian or Alaska Native,Combined,s
020702040001,Genesee Valley Central School,2022,Hispanic or Latino,Combined,s
020702040001,Genesee Valley Central School,2022,English Language Learner,Combined,s
020702040001,Genesee Valley Central School,2022,American Indian or Alaska Native,Combined,s
020702040001,Genesee Valley Central School,2022,Multiracial,Combined,s
020702040001,Genesee Valley Central School,2022,Students with Disabilities,Combined,s
020702040001,Genesee Valley Central School,2022,Black or African American,Combined,s
020702040001,Genesee Valley Central School,2022,Asian or Native Hawaiian/Other Pacific Islander,Combined,s
020801040001,Belfast School,2022,Hispanic or Latino,Combined,s
020801040001,Belfast School,2022,Multiracial,Combined,s
020801040001,Belfast School,2022,English Language Learner,Combined,s
020801040001,Belfast School,2022,Black or African American,Combined,s
020801040001,Belfast School,2022,Students with Disabilities,Combined,s
020801040001,Belfast School,2022,Asian or Native Hawaiian/Other Pacific Islander,Combined,s
020801040001,Belfast School,2022,American Indian or Alaska Native,Combined,s
021102040001,Canaseraga School,2022,Hispanic or Latino,Combined,s
021102040001,Canaseraga School,2022,Multiracial,Combined,s
021102040001,Canaseraga School,2022,Economically Disadvantaged,Combined,s
021102040001,Canaseraga School,2022,Black or African American,Combined,s
021102040001,Canaseraga School,2022,English Language Learner,Combined,s
021102040001,Canaseraga School,2022,Students with Disabilities,Combined,s
021102040001,Canaseraga School,2022,Asian or Native Hawaiian/Other Pacific Islander,Combined,s
021102040001,Canaseraga School,2022,American Indian or Alaska Native,Combined,s
021601040004,Friendship Central School,2022,Hispanic or Latino,Combined,s
021601040004,Friendship Central School,2022,Multiracial,Combined,s
021601040004,Friendship Central School,2022,English Language Learner,Combined,s
021601040004,Friendship Central School,2022,Economically Disadvantaged,Combined,s
021601040004,Friendship Central School,2022,Students with Disabilities,Combined,s
021601040004,Friendship Central School,2022,American Indian or Alaska Native,Combined,s
021601040004,Friendship Central School,2022,Asian or Native Hawaiian/Other Pacific Islander,Combined,s
021601040004,Friendship Central School,2022,Black or African American,Combined,s
022001040001,Fillmore Central School,2022,Hispanic or Latino,Combined,s
022001040001,Fillmore Central School,2022,English Language Learner,Combined,s
022001040001,Fillmore Central School,2022,Multiracial,Combined,s
022001040001,Fillmore Central School,2022,Black or African American,Combined,s
022001040001,Fillmore Central School,2022,Students with Disabilities,Combined,s
022001040001,Fillmore Central School,2022,American Indian or Alaska Native,Combined,s
022001040001,Fillmore Central School,2022,Asian or Native Hawaiian/Other Pacific Islander,Combined,s
022101040001,Whitesville Central School,2022,Hispanic or Latino,Combined,s
022101040001,Whitesville Central School,2022,Multiracial,Combined,s
022101040001,Whitesville Central School,2022,Economically Disadvantaged,Combined,s
022101040001,Whitesville Central School,2022,English Language Learner,Combined,s
022101040001,Whitesville Central School,2022,Students with Disabilities,Combined,s
022101040001,Whitesville Central School,2022,American Indian or Alaska Native,Combined,s
022101040001,Whitesville Central School,2022,Black or African American,Combined,s
022101040001,Whitesville Central School,2022,Asian or Native Hawaiian/Other Pacific Islander,Combined,s
022302040001,Cuba-Rushford High School,2022,Hispanic or Latino,Combined,s
022302040001,Cuba-Rushford High School,2022,Multiracial,Combined,s
022302040001,Cuba-Rushford High School,2022,English Language Learner,Combined,s
022302040001,Cuba-Rushford High School,2022,American Indian or Alaska Native,Combined,s
022302040001,Cuba-Rushford High School,2022,Students with Disabilities,Combined,s
022302040001,Cuba-Rushford High School,2022,Asian or Native Hawaiian/Other Pacific Islander,Combined,s
022302040001,Cuba-Rushford High School,2022,Black or African American,Combined,s
022401040003,Scio Central School,2022,Hispanic or Latino,Combined,s
022401040003,Scio Central School,2022,Economically Disadvantaged,Combined,s
022401040003,Scio Central School,2022,English Language Learner,Combined,s
022401040003,Scio Central School,2022,Multiracial,Combined,s
022401040003,Scio Central School,2022,Students with Disabilities,Combined,s
022401040003,Scio Central School,2022,American Indian or Alaska Native,Combined,s
022401040003,Scio Central School,2022,Asian or Native Hawaiian/Other Pacific Islander,Combined,s
022401040003,Scio Central School,2022,Black or African American,Combined,s
022601060004,Wellsville Secondary School,2022,Hispanic or Latino,Combined,s
022601060004,Wellsville Secondary School,2022,Multiracial,Combined,s
022601060004,Wellsville Secondary School,2022,English Language Learner,Combined,s
022601060004,Wellsville Secondary School,2022,Black or African American,Combined,s
022601060004,Wellsville Secondary School,2022,Students with Disabilities,Combined,s
022601060004,Wellsville Secondary School,2022,American Indian or Alaska Native,Combined,s
022601060004,Wellsville Secondary School,2022,Asian or Native Hawaiian/Other Pacific Islander,Combined,s
022902040001,Bolivar-Richburg Junior-Senior Hs,2022,Hispanic or Latino,Combined,s
022902040001,Bolivar-Richburg Junior-Senior Hs,2022,Multiracial,Combined,s
022902040001,Bolivar-Richburg Junior-Senior Hs,2022,English Language Learner,Combined,s
022902040001,Bolivar-Richburg Junior-Senior Hs,2022,Students with Disabilities,Combined,s
022902040001,Bolivar-Richburg Junior-Senior Hs,2022,Black or African American,Combined,s
022902040001,Bolivar-Richburg Junior-Senior Hs,2022,Asian or Native Hawaiian/Other Pacific Islander,Combined,s
022902040001,Bolivar-Richburg Junior-Senior Hs,2022,American Indian or Alaska Native,Combined,s
030101060003,Chenango Forks High School,2022,Hispanic or Latino,Combined,s
030101060003,Chenango Forks High School,2022,Multiracial,Combined,s
030101060003,Chenango Forks High School,2022,English Language Learner,Combined,s
030101060003,Chenango Forks High School,2022,Black or African American,Combined,s
030101060003,Chenango Forks High School,2022,American Indian or Alaska Native,Combined,s
030101060003,Chenango Forks High School,2022,Asian or Native Hawaiian/Other Pacific Islander,Combined,s
030200010021,Binghamton High School,2022,American Indian or Alaska Native,Combined,s
030501040003,Harpursville Junior-Senior Hs,2022,Hispanic or Latino,Combined,s
030501040003,Harpursville Junior-Senior Hs,2022,English Language Learner,Combined,s
030501040003,Harpursville Junior-Senior Hs,2022,Multiracial,Combined,s
030501040003,Harpursville Junior-Senior Hs,2022,Black or African American,Combined,s
030501040003,Harpursville Junior-Senior Hs,2022,American Indian or Alaska Native,Combined,s
030501040003,Harpursville Junior-Senior Hs,2022,Asian or Native Hawaiian/Other Pacific Islander,Combined,s
030601060006,Susquehanna Valley Senior High Sch,2022,Hispanic or Latino,Combined,s
030601060006,Susquehanna Valley Senior High Sch,2022,Multiracial,Combined,s
030601060006,Susquehanna Valley Senior High Sch,2022,English Language Learner,Combined,s
030601060006,Susquehanna Valley Senior High Sch,2022,Black or African American,Combined,s
030601060006,Susquehanna Valley Senior High Sch,2022,American Indian or Alaska Native,Combined,s
030601060006,Susquehanna Valley Senior High Sch,2022,Asian or Native Hawaiian/Other Pacific Islander,Combined,s
030701060001,Chenango Valley High School,2022,Hispanic or Latino,Combined,s
030701060001,Chenango Valley High School,2022,Multiracial,Combined,s
030701060001,Chenango Valley High School,2022,English Language Learner,Combined,s
030701060001,Chenango Valley High School,2022,Black or African American,Combined,s
030701060001,Chenango Valley High School,2022,Asian or Native Hawaiian/Other Pacific Islander,Combined,s
030701060001,Chenango Valley High School,2022,American Indian or Alaska Native,Combined,s
031101060006,Maine-Endwell Senior Hs,2022,Hispanic or Latino,Combined,s
031101060006,Maine-Endwell Senior Hs,2022,Multiracial,Combined,s
031101060006,Maine-Endwell Senior Hs,2022,English Language Learner,Combined,s
031101060006,Maine-Endwell Senior Hs,2022,Black or African American,Combined,s
031101060006,Maine-Endwell Senior Hs,2022,American Indian or Alaska Native,Combined,s
031101060006,Maine-Endwell Senior Hs,2022,Asian or Native Hawaiian/Other Pacific Islander,Combined,s
031301040003,Deposit Middle-Senior High School,2022,Hispanic or Latino,Combined,s
031301040003,Deposit Middle-Senior High School,2022,Multiracial,Combined,s
031301040003,Deposit Middle-Senior High School,2022,Black or African American,Combined,s
031301040003,Deposit Middle-Senior High School,2022,Students with Disabilities,Combined,s
031301040003,Deposit Middle-Senior High School,2022,English Language Learner,Combined,s
031301040003,Deposit Middle-Senior High School,2022,Asian or Native Hawaiian/Other Pacific Islander,Combined,s
031301040003,Deposit Middle-Senior High School,2022,American Indian or Alaska Native,Combined,s
031401060004,Whitney Point Senior High School,2022,Hispanic or Latino,Combined,s
031401060004,Whitney Point Senior High School,2022,Multiracial,Combined,s
031401060004,Whitney Point Senior High School,2022,English Language Learner,Combined,s
031401060004,Whitney Point Senior High School,2022,Students with Disabilities,Combined,s
031401060004,Whitney Point Senior High School,2022,Black or African American,Combined,s
031401060004,Whitney Point Senior High School,2022,Asian or Native Hawaiian/Other Pacific Islander,Combined,s
031401060004,Whitney Point Senior High School,2022,American Indian or Alaska Native,Combined,s
031501060007,Linnaeus W West School,2022,Economically Disadvantaged,Combined,s
031501060007,Linnaeus W West School,2022,Hispanic or Latino,Combined,s
031501060007,Linnaeus W West School,2022,White,Combined,s
031501060007,Linnaeus W West School,2022,Multiracial,Combined,s
031501060007,Linnaeus W West School,2022,English Language Learner,Combined,s
031501060007,Linnaeus W West School,2022,Black or African American,Combined,s
031501060007,Linnaeus W West School,2022,Students with Disabilities,Combined,s
031501060007,Linnaeus W West School,2022,Asian or Native Hawaiian/Other Pacific Islander,Combined,s
031501060007,Linnaeus W West School,2022,American Indian or Alaska Native,Combined,s
031501060012,Union-Endicott High School,2022,English Language Learner,Combined,s
031501060012,Union-Endicott High School,2022,Asian or Native Hawaiian/Other Pacific Islander,Combined,s
031501060012,Union-Endicott High School,2022,American Indian or Alaska Native,Combined,s
031502060006,Johnson City Senior High School,2022,English Language Learner,Combined,s
031502060006,Johnson City Senior High School,2022,American Indian or Alaska Native,Combined,s
031601060051,Vestal Senior High School,2022,Hispanic or Latino,Combined,s
031601060051,Vestal Senior High School,2022,Multiracial,Combined,s
031601060051,Vestal Senior High School,2022,English Language Learner,Combined,s
031601060051,Vestal Senior High School,2022,Black or African American,Combined,s
031601060051,Vestal Senior High School,2022,American Indian or Alaska Native,Combined,s
031701060007,Windsor Central High School,2022,Hispanic or Latino,Combined,s
031701060007,Windsor Central High School,2022,Multiracial,Combined,s
031701060007,Windsor Central High School,2022,Black or African American,Combined,s
031701060007,Windsor Central High School,2022,English Language Learner,Combined,s
031701060007,Windsor Central High School,2022,Students with Disabilities,Combined,s
031701060007,Windsor Central High School,2022,Asian or Native Hawaiian/Other Pacific Islander,Combined,s
031701060007,Windsor Central High School,2022,American Indian or Alaska Native,Combined,s
040204040001,West Valley Central School,2022,White,Combined,s
040204040001,West Valley Central School,2022,Hispanic or Latino,Combined,s
040204040001,West Valley Central School,2022,Multiracial,Combined,s
040204040001,West Valley Central School,2022,English Language Learner,Combined,s
040204040001,West Valley Central School,2022,Economically Disadvantaged,Combined,s
040204040001,West Valley Central School,2022,Students with Disabilities,Combined,s
040204040001,West Valley Central School,2022,American Indian or Alaska Native,Combined,s
040204040001,West Valley Central School,2022,Asian or Native Hawaiian/Other Pacific Islander,Combined,s
040204040001,West Valley Central School,2022,Black or African American,Combined,s
040302060001,Allegany-Limestone Middle-High,2022,Hispanic or Latino,Combined,s
040302060001,Allegany-Limestone Middle-High,2022,Multiracial,Combined,s
040302060001,Allegany-Limestone Middle-High,2022,English Language Learner,Combined,s
040302060001,Allegany-Limestone Middle-High,2022,Black or African American,Combined,s
040302060001,Allegany-Limestone Middle-High,2022,Students with Disabilities,Combined,s
040302060001,Allegany-Limestone Middle-High,2022,American Indian or Alaska Native,Combined,s
040302060001,Allegany-Limestone Middle-High,2022,Asian or Native Hawaiian/Other Pacific Islander,Combined,s
040901040002,Ellicottville Middle/High School,2022,Students with Disabilities,Combined,s
040901040002,Ellicottville Middle/High School,2022,English Language Learner,Combined,s
040901040002,Ellicottville Middle/High School,2022,Multiracial,Combined,s
040901040002,Ellicottville Middle/High School,2022,American Indian or Alaska Native,Combined,s
040901040002,Ellicottville Middle/High School,2022,Asian or Native Hawaiian/Other Pacific Islander,Combined,s
040901040002,Ellicottville Middle/High School,2022,Hispanic or Latino,Combined,s
040901040002,Ellicottville Middle/High School,2022,Black or African American,Combined,s
041101040002,Franklinville Junior-Senior Hs,2022,Hispanic or Latino,Combined,s
041101040002,Franklinville Junior-Senior Hs,2022,Multiracial,Combined,s
041101040002,Franklinville Junior-Senior Hs,2022,English Language Learner,Combined,s
041101040002,Franklinville Junior-Senior Hs,2022,Students with Disabilities,Combined,s
041101040002,Franklinville Junior-Senior Hs,2022,Asian or Native Hawaiian/Other Pacific Islander,Combined,s
041101040002,Franklinville Junior-Senior Hs,2022,American Indian or Alaska Native,Combined,s
041101040002,Franklinville Junior-Senior Hs,2022,Black or African American,Combined,s
041401040001,Hinsdale Central School,2022,Hispanic or Latino,Combined,s
041401040001,Hinsdale Central School,2022,Multiracial,Combined,s
041401040001,Hinsdale Central School,2022,English Language Learner,Combined,s
041401040001,Hinsdale Central School,2022,Economically Disadvantaged,Combined,s
041401040001,Hinsdale Central School,2022,Students with Disabilities,Combined,s
041401040001,Hinsdale Central School,2022,American Indian or Alaska Native,Combined,s
041401040001,Hinsdale Central School,2022,Asian or Native Hawaiian/Other Pacific Islander,Combined,s
041401040001,Hinsdale Central School,2022,Black or African American,Combined,s
042302040003,Cattaraugus-Little Valley Hs,2022,Hispanic or Latino,Combined,s
042302040003,Cattaraugus-Little Valley Hs,2022,Multiracial,Combined,s
042302040003,Cattaraugus-Little Valley Hs,2022,English Language Learner,Combined,s
042302040003,Cattaraugus-Little Valley Hs,2022,Black or African American,Combined,s
042302040003,Cattaraugus-Little Valley Hs,2022,Students with Disabilities,Combined,s
042302040003,Cattaraugus-Little Valley Hs,2022,American Indian or Alaska Native,Combined,s
042302040003,Cattaraugus-Little Valley Hs,2022,Asian or Native Hawaiian/Other Pacific Islander,Combined,s
042400010013,Olean Senior High School,2022,Hispanic or Latino,Combined,s
042400010013,Olean Senior High School,2022,Multiracial,Combined,s
042400010013,Olean Senior High School,2022,English Language Learner,Combined,s
042400010013,Olean Senior High School,2022,Black or African American,Combined,s
042400010013,Olean Senior High School,2022,Asian or Native Hawaiian/Other Pacific Islander,Combined,s
042400010013,Olean Senior High School,2022,American Indian or Alaska Native,Combined,s
042801060006,Gowanda High School,2022,Hispanic or Latino,Combined,s
042801060006,Gowanda High School,2022,Multiracial,Combined,s
042801060006,Gowanda High School,2022,English Language Learner,Combined,s
042801060006,Gowanda High School,2022,Black or African American,Combined,s
042801060006,Gowanda High School,2022,Asian or Native Hawaiian/Other Pacific Islander,Combined,s
042901040002,Portville Junior-Senior High School,2022,Hispanic or Latino,Combined,s
042901040002,Portville Junior-Senior High School,2022,Multiracial,Combined,s
042901040002,Portville Junior-Senior High School,2022,Black or African American,Combined,s
042901040002,Portville Junior-Senior High School,2022,Students with Disabilities,Combined,s
042901040002,Portville Junior-Senior High School,2022,English Language Learner,Combined,s
042901040002,Portville Junior-Senior High School,2022,Asian or Native Hawaiian/Other Pacific Islander,Combined,s
042901040002,Portville Junior-Senior High School,2022,American Indian or Alaska Native,Combined,s
043001040002,Randolph Senior High School,2022,Hispanic or Latino,Combined,s
043001040002,Randolph Senior High School,2022,English Language Learner,Combined,s
043001040002,Randolph Senior High School,2022,Multiracial,Combined,s
043001040002,Randolph Senior High School,2022,Black or African American,Combined,s
043001040002,Randolph Senior High School,2022,Students with Disabilities,Combined,s
043001040002,Randolph Senior High School,2022,American Indian or Alaska Native,Combined,s
043001040002,Randolph Senior High School,2022,Asian or Native Hawaiian/Other Pacific Islander,Combined,s
043011020001,Randolph Academy,2022,White,Combined,s
043011020001,Randolph Academy,2022,Hispanic or Latino,Combined,s
043011020001,Randolph Academy,2022,Economically Disadvantaged,Combined,s
043011020001,Randolph Academy,2022,Multiracial,Combined,s
043011020001,Randolph Academy,2022,English Language Learner,Combined,s
043011020001,Randolph Academy,2022,Black or African American,Combined,s
043011020001,Randolph Academy,2022,Students with Disabilities,Combined,s
043011020001,Randolph Academy,2022,American Indian or Alaska Native,Combined,s
043011020001,Randolph Academy,2022,Asian or Native Hawaiian/Other Pacific Islander,Combined,s
043011020002,Randolph Academy-Hamburg Campus,2022,White,Combined,s
043011020002,Randolph Academy-Hamburg Campus,2022,Hispanic or Latino,Combined,s
043011020002,Randolph Academy-Hamburg Campus,2022,Multiracial,Combined,s
043011020002,Randolph Academy-Hamburg Campus,2022,Economically Disadvantaged,Combined,s
043011020002,Randolph Academy-Hamburg Campus,2022,English Language Learner,Combined,s
043011020002,Randolph Academy-Hamburg Campus,2022,Students with Disabilities,Combined,s
043011020002,Randolph Academy-Hamburg Campus,2022,Black or African American,Combined,s
043011020002,Randolph Academy-Hamburg Campus,2022,American Indian or Alaska Native,Combined,s
043011020002,Randolph Academy-Hamburg Campus,2022,Asian or Native Hawaiian/Other Pacific Islander,Combined,s
043200050002,Salamanca High School,2022,Hispanic or Latino,Combined,s
043200050002,Salamanca High School,2022,Multiracial,Combined,s
043200050002,Salamanca High School,2022,English Language Learner,Combined,s
043200050002,Salamanca High School,2022,Students with Disabilities,Combined,s
043200050002,Salamanca High School,2022,Asian or Native Hawaiian/Other Pacific Islander,Combined,s
043200050002,Salamanca High School,2022,Black or African American,Combined,s
043200050008,Warrior Academy,2022,White,Combined,s
043200050008,Warrior Academy,2022,Hispanic or Latino,Combined,s
043200050008,Warrior Academy,2022,Multiracial,Combined,s
043200050008,Warrior Academy,2022,English Language Learner,Combined,s
043200050008,Warrior Academy,2022,Economically Disadvantaged,Combined,s
043200050008,Warrior Academy,2022,Students with Disabilities,Combined,s
043200050008,Warrior Academy,2022,Black or African American,Combined,s
043200050008,Warrior Academy,2022,American Indian or Alaska Native,Combined,s
043200050008,Warrior Academy,2022,Asian or Native Hawaiian/Other Pacific Islander,Combined,s
043501060006,Pioneer Senior High School,2022,Hispanic or Latino,Combined,s
043501060006,Pioneer Senior High School,2022,Multiracial,Combined,s
043501060006,Pioneer Senior High School,2022,Black or African American,Combined,s
043501060006,Pioneer Senior High School,2022,English Language Learner,Combined,s
043501060006,Pioneer Senior High School,2022,Asian or Native Hawaiian/Other Pacific Islander,Combined,s
043501060006,Pioneer Senior High School,2022,American Indian or Alaska Native,Combined,s
050100010013,Auburn High School,2022,Hispanic or Latino,Combined,s
050100010013,Auburn High School,2022,English Language Learner,Combined,s
050100010013,Auburn High School,2022,American Indian or Alaska Native,Combined,s
050100010013,Auburn High School,2022,Asian or Native Hawaiian/Other Pacific Islander,Combined,s
050301040002,Weedsport Junior-Senior Hs,2022,Hispanic or Latino,Combined,s
050301040002,Weedsport Junior-Senior Hs,2022,Multiracial,Combined,s
050301040002,Weedsport Junior-Senior Hs,2022,English Language Learner,Combined,s
050301040002,Weedsport Junior-Senior Hs,2022,Black or African American,Combined,s
050301040002,Weedsport Junior-Senior Hs,2022,Students with Disabilities,Combined,s
050301040002,Weedsport Junior-Senior Hs,2022,American Indian or Alaska Native,Combined,s
050301040002,Weedsport Junior-Senior Hs,2022,Asian or Native Hawaiian/Other Pacific Islander,Combined,s
050401040003,Cato-Meridian Junior-Senior Hs,2022,Hispanic or Latino,Combined,s
050401040003,Cato-Meridian Junior-Senior Hs,2022,Multiracial,Combined,s
050401040003,Cato-Meridian Junior-Senior Hs,2022,English Language Learner,Combined,s
050401040003,Cato-Meridian Junior-Senior Hs,2022,Students with Disabilities,Combined,s
050401040003,Cato-Meridian Junior-Senior Hs,2022,Black or African American,Combined,s
050401040003,Cato-Meridian Junior-Senior Hs,2022,Asian or Native Hawaiian/Other Pacific Islander,Combined,s
050401040003,Cato-Meridian Junior-Senior Hs,2022,American Indian or Alaska Native,Combined,s
050701040005,Southern Cayuga 7-12 Secondary,2022,Hispanic or Latino,Combined,s
050701040005,Southern Cayuga 7-12 Secondary,2022,Multiracial,Combined,s
050701040005,Southern Cayuga 7-12 Secondary,2022,English Language Learner,Combined,s
050701040005,Southern Cayuga 7-12 Secondary,2022,Students with Disabilities,Combined,s
050701040005,Southern Cayuga 7-12 Secondary,2022,Black or African American,Combined,s
050701040005,Southern Cayuga 7-12 Secondary,2022,American Indian or Alaska Native,Combined,s
050701040005,Southern Cayuga 7-12 Secondary,2022,Asian or Native Hawaiian/Other Pacific Islander,Combined,s
051101040004,Port Byron Senior High School,2022,Hispanic or Latino,Combined,s
051101040004,Port Byron Senior High School,2022,Multiracial,Combined,s
051101040004,Port Byron Senior High School,2022,English Language Learner,Combined,s
051101040004,Port Byron Senior High School,2022,Students with Disabilities,Combined,s
051101040004,Port Byron Senior High School,2022,Black or African American,Combined,s
051101040004,Port Byron Senior High School,2022,American Indian or Alaska Native,Combined,s
051101040004,Port Byron Senior High School,2022,Asian or Native Hawaiian/Other Pacific Islander,Combined,s
051301040003,Moravia Junior-Senior Hs,2022,English Language Learner,Combined,s
051301040003,Moravia Junior-Senior Hs,2022,Hispanic or Latino,Combined,s
051301040003,Moravia Junior-Senior Hs,2022,Multiracial,Combined,s
051301040003,Moravia Junior-Senior Hs,2022,Students with Disabilities,Combined,s
051301040003,Moravia Junior-Senior Hs,2022,American Indian or Alaska Native,Combined,s
051301040003,Moravia Junior-Senior Hs,2022,Asian or Native Hawaiian/Other Pacific Islander,Combined,s
051301040003,Moravia Junior-Senior Hs,2022,Black or African American,Combined,s
051901040005,Union Springs High School,2022,Hispanic or Latino,Combined,s
051901040005,Union Springs High School,2022,Multiracial,Combined,s
051901040005,Union Springs High School,2022,English Language Learner,Combined,s
051901040005,Union Springs High School,2022,Black or African American,Combined,s
051901040005,Union Springs High School,2022,Students with Disabilities,Combined,s
051901040005,Union Springs High School,2022,Asian or Native Hawaiian/Other Pacific Islander,Combined,s
051901040005,Union Springs High School,2022,American Indian or Alaska Native,Combined,s
060201060003,Southwestern Senior High School,2022,Multiracial,Combined,s
060201060003,Southwestern Senior High School,2022,English Language Learner,Combined,s
060201060003,Southwestern Senior High School,2022,Hispanic or Latino,Combined,s
