entity_cd,county,district,nrc_index,school,year,subgroup,grad_rate
011200010010,Albany,Watervliet City Sd,3,Watervliet Junior-Senior Hs,2022,Economically Disadvantaged,82.6
011200010010,Albany,Watervliet City Sd,3,Watervliet Junior-Senior Hs,2022,Black or African American,79.3
020101040002,Allegany,Alfred-Almond Csd,5,Alfred-Almond Junior-Senior Hs,2022,White,96.7
020101040002,Allegany,Alfred-Almond Csd,5,Alfred-Almond Junior-Senior Hs,2022,Economically Disadvantaged,93.3
020601040001,Allegany,Andover Csd,4,Andover Elementary School,2022,White,95.7
020702040001,Allegany,Genesee Valley Csd,4,Genesee Valley Central School,2022,White,90.5
020702040001,Allegany,Genesee Valley Csd,4,Genesee Valley Central School,2022,Economically Disadvantaged,78.7
020801040001,Allegany,Belfast Csd,4,Belfast School,2022,Economically Disadvantaged,84.2
020801040001,Allegany,Belfast Csd,4,Belfast School,2022,White,90.9
021102040001,Allegany,Canaseraga Csd,4,Canaseraga School,2022,White,76.9
021601040004,Allegany,Friendship Csd,4,Friendship Central School,2022,White,97.0
022001040001,Allegany,Fillmore Csd,4,Fillmore Central School,2022,White,99.3
022001040001,Allegany,Fillmore Csd,4,Fillmore Central School,2022,Economically Disadvantaged,97.2
022101040001,Allegany,Whitesville Csd,4,Whitesville Central School,2022,White,92.2
022302040001,Allegany,Cuba-Rushford Csd,4,Cuba-Rushford High School,2022,White,95.9
022302040001,Allegany,Cuba-Rushford Csd,4,Cuba-Rushford High School,2022,Economically Disadvantaged,91.2
022401040003,Allegany,Scio Csd,4,Scio Central School,2022,White,89.8
022601060004,Allegany,Wellsville Csd,4,Wellsville Secondary School,2022,White,91.8
022601060004,Allegany,Wellsville Csd,4,Wellsville Secondary School,2022,Economically Disadvantaged,87.4
022902040001,Allegany,Bolivar-Richburg Csd,4,Bolivar-Richburg Junior-Senior Hs,2022,White,94.4
022902040001,Allegany,Bolivar-Richburg Csd,4,Bolivar-Richburg Junior-Senior Hs,2022,Economically Disadvantaged,91.9
030101060003,Broome,Chenango Forks Csd,5,Chenango Forks High School,2022,White,97.4
030101060003,Broome,Chenango Forks Csd,5,Chenango Forks High School,2022,Economically Disadvantaged,92.6
030101060003,Broome,Chenango Forks Csd,5,Chenango Forks High School,2022,Students with Disabilities,95.5
030200010021,Broome,Binghamton City Sd,3,Binghamton High School,2022,White,81.3
030200010021,Broome,Binghamton City Sd,3,Binghamton High School,2022,Hispanic or Latino,70.9
030200010021,Broome,Binghamton City Sd,3,Binghamton High School,2022,Multiracial,80.0
030200010021,Broome,Binghamton City Sd,3,Binghamton High School,2022,Economically Disadvantaged,69.6
030200010021,Broome,Binghamton City Sd,3,Binghamton High School,2022,Black or African American,73.4
030200010021,Broome,Binghamton City Sd,3,Binghamton High School,2022,Students with Disabilities,61.4
030200010021,Broome,Binghamton City Sd,3,Binghamton High School,2022,English Language Learner,74.3
030200010021,Broome,Binghamton City Sd,3,Binghamton High School,2022,Asian or Native Hawaiian/Other Pacific Islander,88.4
030501040003,Broome,Harpursville Csd,4,Harpursville Junior-Senior Hs,2022,White,90.9
030501040003,Broome,Harpursville Csd,4,Harpursville Junior-Senior Hs,2022,Economically Disadvantaged,90.4
030501040003,Broome,Harpursville Csd,4,Harpursville Junior-Senior Hs,2022,Students with Disabilities,77.3
030601060006,Broome,Susquehanna Valley Csd,5,Susquehanna Valley Senior High Sch,2022,White,92.9
030601060006,Broome,Susquehanna Valley Csd,5,Susquehanna Valley Senior High Sch,2022,Economically Disadvantaged,87.0
030601060006,Broome,Susquehanna Valley Csd,5,Susquehanna Valley Senior High Sch,2022,Students with Disabilities,73.7
030701060001,Broome,Chenango Valley Csd,4,Chenango Valley High School,2022,White,94.2
030701060001,Broome,Chenango Valley Csd,4,Chenango Valley High School,2022,Economically Disadvantaged,85.2
030701060001,Broome,Chenango Valley Csd,4,Chenango Valley High School,2022,Students with Disabilities,80.0
031101060006,Broome,Maine-Endwell Csd,5,Maine-Endwell Senior Hs,2022,White,94.9
031101060006,Broome,Maine-Endwell Csd,5,Maine-Endwell Senior Hs,2022,Economically Disadvantaged,88.6
031101060006,Broome,Maine-Endwell Csd,5,Maine-Endwell Senior Hs,2022,Students with Disabilities,84.8
031301040003,Broome,Deposit Csd,4,Deposit Middle-Senior High School,2022,White,96.6
031301040003,Broome,Deposit Csd,4,Deposit Middle-Senior High School,2022,Economically Disadvantaged,93.3
031401060004,Broome,Whitney Point Csd,4,Whitney Point Senior High School,2022,White,91.7
031401060004,Broome,Whitney Point Csd,4,Whitney Point Senior High School,2022,Economically Disadvantaged,88.1
031501060012,Broome,Union-Endicott Csd,5,Union-Endicott High School,2022,Hispanic or Latino,82.5
031501060012,Broome,Union-Endicott Csd,5,Union-Endicott High School,2022,White,93.1
031501060012,Broome,Union-Endicott Csd,5,Union-Endicott High School,2022,Multiracial,80.7
031501060012,Broome,Union-Endicott Csd,5,Union-Endicott High School,2022,Economically Disadvantaged,79.6
031501060012,Broome,Union-Endicott Csd,5,Union-Endicott High School,2022,Black or African American,73.5
031501060012,Broome,Union-Endicott Csd,5,Union-Endicott High School,2022,Students with Disabilities,78.9
031502060006,Broome,Johnson City Csd,3,Johnson City Senior High School,2022,Hispanic or Latino,75.0
031502060006,Broome,Johnson City Csd,3,Johnson City Senior High School,2022,White,90.8
031502060006,Broome,Johnson City Csd,3,Johnson City Senior High School,2022,Multiracial,73.7
031502060006,Broome,Johnson City Csd,3,Johnson City Senior High School,2022,Economically Disadvantaged,84.7
031502060006,Broome,Johnson City Csd,3,Johnson City Senior High School,2022,Asian or Native Hawaiian/Other Pacific Islander,98.4
031502060006,Broome,Johnson City Csd,3,Johnson City Senior High School,2022,Students with Disabilities,64.1
031502060006,Broome,Johnson City Csd,3,Johnson City Senior High School,2022,Black or African American,83.3
031601060051,Broome,Vestal Csd,5,Vestal Senior High School,2022,Economically Disadvantaged,91.8
031601060051,Broome,Vestal Csd,5,Vestal Senior High School,2022,White,97.7
031601060051,Broome,Vestal Csd,5,Vestal Senior High School,2022,Students with Disabilities,88.5
031601060051,Broome,Vestal Csd,5,Vestal Senior High School,2022,Asian or Native Hawaiian/Other Pacific Islander,96.8
031701060007,Broome,Windsor Csd,5,Windsor Central High School,2022,White,93.2
031701060007,Broome,Windsor Csd,5,Windsor Central High School,2022,Economically Disadvantaged,87.4
040302060001,Cattaraugus,Allegany-Limestone Csd,5,Allegany-Limestone Middle-High,2022,White,94.8
040302060001,Cattaraugus,Allegany-Limestone Csd,5,Allegany-Limestone Middle-High,2022,Economically Disadvantaged,87.0
040901040002,Cattaraugus,Ellicottville Csd,5,Ellicottville Middle/High School,2022,Economically Disadvantaged,86.7
040901040002,Cattaraugus,Ellicottville Csd,5,Ellicottville Middle/High School,2022,White,96.1
041101040002,Cattaraugus,Franklinville Csd,4,Franklinville Junior-Senior Hs,2022,White,94.1
041101040002,Cattaraugus,Franklinville Csd,4,Franklinville Junior-Senior Hs,2022,Economically Disadvantaged,87.9
041401040001,Cattaraugus,Hinsdale Csd,4,Hinsdale Central School,2022,White,89.6
042302040003,Cattaraugus,Cattaraugus-Little Valley Csd,5,Cattaraugus-Little Valley Hs,2022,White,96.1
042302040003,Cattaraugus,Cattaraugus-Little Valley Csd,5,Cattaraugus-Little Valley Hs,2022,Economically Disadvantaged,93.4
042400010013,Cattaraugus,Olean City Sd,3,Olean Senior High School,2022,White,84.2
042400010013,Cattaraugus,Olean City Sd,3,Olean Senior High School,2022,Economically Disadvantaged,72.8
042400010013,Cattaraugus,Olean City Sd,3,Olean Senior High School,2022,Students with Disabilities,55.7
042801060006,Cattaraugus,Gowanda Csd,4,Gowanda High School,2022,White,87.6
042801060006,Cattaraugus,Gowanda Csd,4,Gowanda High School,2022,Economically Disadvantaged,78.8
042801060006,Cattaraugus,Gowanda Csd,4,Gowanda High School,2022,Students with Disabilities,63.2
042801060006,Cattaraugus,Gowanda Csd,4,Gowanda High School,2022,American Indian or Alaska Native,84.2
042901040002,Cattaraugus,Portville Csd,5,Portville Junior-Senior High School,2022,White,95.2
042901040002,Cattaraugus,Portville Csd,5,Portville Junior-Senior High School,2022,Economically Disadvantaged,92.3
043001040002,Cattaraugus,Randolph Csd,4,Randolph Senior High School,2022,White,95.9
043001040002,Cattaraugus,Randolph Csd,4,Randolph Senior High School,2022,Economically Disadvantaged,100.0
043200050002,Cattaraugus,Salamanca City Sd,4,Salamanca High School,2022,White,89.5
043200050002,Cattaraugus,Salamanca City Sd,4,Salamanca High School,2022,Economically Disadvantaged,86.3
043200050002,Cattaraugus,Salamanca City Sd,4,Salamanca High School,2022,American Indian or Alaska Native,81.1
043501060006,Cattaraugus,Yorkshire-Pioneer Csd,4,Pioneer Senior High School,2022,White,90.7
043501060006,Cattaraugus,Yorkshire-Pioneer Csd,4,Pioneer Senior High School,2022,Economically Disadvantaged,86.8
043501060006,Cattaraugus,Yorkshire-Pioneer Csd,4,Pioneer Senior High School,2022,Students with Disabilities,87.2
050100010013,Cayuga,Auburn City Sd,3,Auburn High School,2022,White,79.4
050100010013,Cayuga,Auburn City Sd,3,Auburn High School,2022,Multiracial,59.4
050100010013,Cayuga,Auburn City Sd,3,Auburn High School,2022,Economically Disadvantaged,62.4
050100010013,Cayuga,Auburn City Sd,3,Auburn High School,2022,Black or African American,71.4
050100010013,Cayuga,Auburn City Sd,3,Auburn High School,2022,Students with Disabilities,63.7
050301040002,Cayuga,Weedsport Csd,5,Weedsport Junior-Senior Hs,2022,White,96.0
050301040002,Cayuga,Weedsport Csd,5,Weedsport Junior-Senior Hs,2022,Economically Disadvantaged,83.2
050401040003,Cayuga,Cato-Meridian Csd,5,Cato-Meridian Junior-Senior Hs,2022,White,94.7
050401040003,Cayuga,Cato-Meridian Csd,5,Cato-Meridian Junior-Senior Hs,2022,Economically Disadvantaged,87.1
050701040005,Cayuga,Southern Cayuga Csd,5,Southern Cayuga 7-12 Secondary,2022,White,97.2
050701040005,Cayuga,Southern Cayuga Csd,5,Southern Cayuga 7-12 Secondary,2022,Economically Disadvantaged,91.4
051101040004,Cayuga,Port Byron Csd,5,Port Byron Senior High School,2022,White,93.1
051101040004,Cayuga,Port Byron Csd,5,Port Byron Senior High School,2022,Economically Disadvantaged,91.9
051301040003,Cayuga,Moravia Csd,5,Moravia Junior-Senior Hs,2022,White,94.9
051301040003,Cayuga,Moravia Csd,5,Moravia Junior-Senior Hs,2022,Economically Disadvantaged,91.5
051901040005,Cayuga,Union Springs Csd,5,Union Springs High School,2022,White,91.6
051901040005,Cayuga,Union Springs Csd,5,Union Springs High School,2022,Economically Disadvantaged,76.7
060201060003,Chautauqua,Southwestern Csd At Jamestown,5,Southwestern Senior High School,2022,White,94.1
060201060003,Chautauqua,Southwestern Csd At Jamestown,5,Southwestern Senior High School,2022,Economically Disadvantaged,89.2
060201060003,Chautauqua,Southwestern Csd At Jamestown,5,Southwestern Senior High School,2022,Students with Disabilities,88.2
060301040004,Chautauqua,Frewsburg Csd,5,Frewsburg Junior-Senior High Sch,2022,White,94.9
060301040004,Chautauqua,Frewsburg Csd,5,Frewsburg Junior-Senior High Sch,2022,Economically Disadvantaged,86.0
060401040006,Chautauqua,Cassadaga Valley Csd,4,Cassadaga Valley Middle/High School,2022,White,94.8
060401040006,Chautauqua,Cassadaga Valley Csd,4,Cassadaga Valley Middle/High School,2022,Economically Disadvantaged,88.2
060503040001,Chautauqua,Chautauqua Lake Csd,5,Chautauqua Lake Secondary School,2022,White,96.3
060503040001,Chautauqua,Chautauqua Lake Csd,5,Chautauqua Lake Secondary School,2022,Economically Disadvantaged,93.3
060601040003,Chautauqua,Pine Valley Csd (South Dayton),4,Pine Valley Central Jr-Sr High Sch,2022,White,79.2
060601040003,Chautauqua,Pine Valley Csd (South Dayton),4,Pine Valley Central Jr-Sr High Sch,2022,Economically Disadvantaged,78.6
060701040003,Chautauqua,Clymer Csd,5,Clymer Central School,2022,White,95.9
060701040003,Chautauqua,Clymer Csd,5,Clymer Central School,2022,Economically Disadvantaged,90.0
060800010009,Chautauqua,Dunkirk City Sd,3,Dunkirk Senior High School,2022,White,90.6
060800010009,Chautauqua,Dunkirk City Sd,3,Dunkirk Senior High School,2022,Hispanic or Latino,68.2
060800010009,Chautauqua,Dunkirk City Sd,3,Dunkirk Senior High School,2022,English Language Learner,45.1
060800010009,Chautauqua,Dunkirk City Sd,3,Dunkirk Senior High School,2022,Economically Disadvantaged,77.5
060800010009,Chautauqua,Dunkirk City Sd,3,Dunkirk Senior High School,2022,Students with Disabilities,67.1
061001040005,Chautauqua,Bemus Point Csd,5,Maple Grove Junior/Senior Hs,2022,White,98.9
061101040007,Chautauqua,Falconer Csd,5,Falconer Middle/High School,2022,White,94.7
061101040007,Chautauqua,Falconer Csd,5,Falconer Middle/High School,2022,Economically Disadvantaged,90.1
061501040001,Chautauqua,Silver Creek Csd,4,Silver Creek High School,2022,Economically Disadvantaged,85.2
061501040001,Chautauqua,Silver Creek Csd,4,Silver Creek High School,2022,White,93.4
061503040003,Chautauqua,Forestville Csd,5,Forestville Central High School,2022,White,97.5
061503040003,Chautauqua,Forestville Csd,5,Forestville Central High School,2022,Economically Disadvantaged,87.1
061601040001,Chautauqua,Panama Csd,5,Panama High School,2022,White,98.4
061700010013,Chautauqua,Jamestown City Sd,3,Jamestown High School,2022,Economically Disadvantaged,74.0
061700010013,Chautauqua,Jamestown City Sd,3,Jamestown High School,2022,Hispanic or Latino,74.1
061700010013,Chautauqua,Jamestown City Sd,3,Jamestown High School,2022,White,81.1
061700010013,Chautauqua,Jamestown City Sd,3,Jamestown High School,2022,Multiracial,74.6
061700010013,Chautauqua,Jamestown City Sd,3,Jamestown High School,2022,English Language Learner,62.4
061700010013,Chautauqua,Jamestown City Sd,3,Jamestown High School,2022,Black or African American,67.0
061700010013,Chautauqua,Jamestown City Sd,3,Jamestown High School,2022,Students with Disabilities,50.5
062201060003,Chautauqua,Fredonia Csd,5,Fredonia High School,2022,Hispanic or Latino,88.9
062201060003,Chautauqua,Fredonia Csd,5,Fredonia High School,2022,White,95.4
062201060003,Chautauqua,Fredonia Csd,5,Fredonia High School,2022,Economically Disadvantaged,89.6
062301040003,Chautauqua,Brocton Csd,4,Brocton Middle High School,2022,Economically Disadvantaged,85.8
062301040003,Chautauqua,Brocton Csd,4,Brocton Middle High School,2022,White,84.6
062601040003,Chautauqua,Sherman Csd,4,Sherman High School,2022,White,93.1
062601040003,Chautauqua,Sherman Csd,4,Sherman High School,2022,Economically Disadvantaged,93.6
062901040002,Chautauqua,Westfield Csd,4,Westfield High School,2022,White,87.6
062901040002,Chautauqua,Westfield Csd,4,Westfield High School,2022,Economically Disadvantaged,73.0
070600010020,Chemung,Elmira City Sd,3,Elmira High School,2022,Economically Disadvantaged,62.5
070600010020,Chemung,Elmira City Sd,3,Elmira High School,2022,Hispanic or Latino,62.5
070600010020,Chemung,Elmira City Sd,3,Elmira High School,2022,White,77.8
070600010020,Chemung,Elmira City Sd,3,Elmira High School,2022,Multiracial,69.8
070600010020,Chemung,Elmira City Sd,3,Elmira High School,2022,Black or African American,69.3
070600010020,Chemung,Elmira City Sd,3,Elmira High School,2022,Students with Disabilities,60.6
070901060007,Chemung,Horseheads Csd,5,Horseheads Senior High School,2022,White,93.4
070901060007,Chemung,Horseheads Csd,5,Horseheads Senior High School,2022,Economically Disadvantaged,83.6
070901060007,Chemung,Horseheads Csd,5,Horseheads Senior High School,2022,Students with Disabilities,73.2
070901060007,Chemung,Horseheads Csd,5,Horseheads Senior High School,2022,Asian or Native Hawaiian/Other Pacific Islander,100.0
070902060002,Chemung,Elmira Heights Csd,5,Thomas A Edison High School,2022,White,86.9
070902060002,Chemung,Elmira Heights Csd,5,Thomas A Edison High School,2022,Economically Disadvantaged,80.7
080101040003,Chenango,Afton Csd,4,Afton Junior/Senior Hs,2022,White,84.2
080101040003,Chenango,Afton Csd,4,Afton Junior/Senior Hs,2022,Economically Disadvantaged,66.0
080201040001,Chenango,Bainbridge-Guilford Csd,5,Bainbridge-Guilford High School,2022,White,95.7
080201040001,Chenango,Bainbridge-Guilford Csd,5,Bainbridge-Guilford High School,2022,Economically Disadvantaged,90.8
080601040003,Chenango,Greene Csd,4,Greene High School,2022,White,92.3
080601040003,Chenango,Greene Csd,4,Greene High School,2022,Economically Disadvantaged,97.1
081003040003,Chenango,Unadilla Valley Csd,4,Unadilla Valley Secondary School,2022,White,91.1
081003040003,Chenango,Unadilla Valley Csd,4,Unadilla Valley Secondary School,2022,Economically Disadvantaged,88.2
081003040003,Chenango,Unadilla Valley Csd,4,Unadilla Valley Secondary School,2022,Students with Disabilities,66.7
081200050004,Chenango,Norwich City Sd,4,Norwich High School,2022,White,88.7
081200050004,Chenango,Norwich City Sd,4,Norwich High School,2022,Economically Disadvantaged,82.0
081200050004,Chenango,Norwich City Sd,4,Norwich High School,2022,Students with Disabilities,58.5
081401040001,Chenango,Otselic Valley Csd,4,Otselic Valley Central School,2022,White,95.8
081501040002,Chenango,Oxford Academy & Csd,4,Oxford Academy High School,2022,White,92.7
081501040002,Chenango,Oxford Academy & Csd,4,Oxford Academy High School,2022,Economically Disadvantaged,94.1
082001040004,Chenango,Sherburne-Earlville Csd,4,Sherburne-Earlville Senior High Sch,2022,White,92.4
082001040004,Chenango,Sherburne-Earlville Csd,4,Sherburne-Earlville Senior High Sch,2022,Economically Disadvantaged,86.3
082001040004,Chenango,Sherburne-Earlville Csd,4,Sherburne-Earlville Senior High Sch,2022,Students with Disabilities,74.9
090201040002,Clinton,Ausable Valley Csd,5,Ausable Valley High School,2022,White,86.1
090201040002,Clinton,Ausable Valley Csd,5,Ausable Valley High School,2022,Economically Disadvantaged,77.6
090301060006,Clinton,Beekmantown Csd,5,Beekmantown High School,2022,White,92.3
090301060006,Clinton,Beekmantown Csd,5,Beekmantown High School,2022,Economically Disadvantaged,86.4
090301060006,Clinton,Beekmantown Csd,5,Beekmantown High School,2022,Students with Disabilities,72.1
090501040002,Clinton,Northeastern Clinton Csd,5,Northeastern Clinton Sr High School,2022,White,83.7
090501040002,Clinton,Northeastern Clinton Csd,5,Northeastern Clinton Sr High School,2022,Economically Disadvantaged,71.6
090501040002,Clinton,Northeastern Clinton Csd,5,Northeastern Clinton Sr High School,2022,Students with Disabilities,59.0
090601020002,Clinton,Chazy Ufsd,5,Chazy Central Rural Jr-Sr Hs,2022,White,92.0
090901040002,Clinton,Northern Adirondack Csd,4,Northern Adirondack Mid/High,2022,White,92.1
090901040002,Clinton,Northern Adirondack Csd,4,Northern Adirondack Mid/High,2022,Economically Disadvantaged,80.9
091101060005,Clinton,Peru Csd,5,Peru High School,2022,Economically Disadvantaged,76.7
091101060005,Clinton,Peru Csd,5,Peru High School,2022,White,88.3
091101060005,Clinton,Peru Csd,5,Peru High School,2022,Students with Disabilities,63.8
091200010006,Clinton,Plattsburgh City Sd,3,Plattsburgh Senior High School,2022,White,88.6
091200010006,Clinton,Plattsburgh City Sd,3,Plattsburgh Senior High School,2022,Economically Disadvantaged,77.9
091200010006,Clinton,Plattsburgh City Sd,3,Plattsburgh Senior High School,2022,Students with Disabilities,66.1
091402060005,Clinton,Saranac Csd,5,Saranac High School,2022,White,89.2
091402060005,Clinton,Saranac Csd,5,Saranac High School,2022,Economically Disadvantaged,75.7
091402060005,Clinton,Saranac Csd,5,Saranac High School,2022,Students with Disabilities,51.8
100501040003,Columbia,Taconic Hills Csd,5,Taconic Hills Junior/Senior High,2022,Hispanic or Latino,81.3
100501040003,Columbia,Taconic Hills Csd,5,Taconic Hills Junior/Senior High,2022,White,83.4
100501040003,Columbia,Taconic Hills Csd,5,Taconic Hills Junior/Senior High,2022,Economically Disadvantaged,70.7
100902040004,Columbia,Germantown Csd,5,Germantown Junior-Senior Hs,2022,White,87.2
100902040004,Columbia,Germantown Csd,5,Germantown Junior-Senior Hs,2022,Economically Disadvantaged,85.9
101001040002,Columbia,Chatham Csd,5,Chatham High School,2022,White,95.2
101001040002,Columbia,Chatham Csd,5,Chatham High School,2022,Economically Disadvantaged,85.8
101300010001,Columbia,Hudson City Sd,4,Hudson High School,2022,Black or African American,86.7
101300010001,Columbia,Hudson City Sd,4,Hudson High School,2022,Asian or Native Hawaiian/Other Pacific Islander,92.7
101300010001,Columbia,Hudson City Sd,4,Hudson High School,2022,Students with Disabilities,57.7
101300010001,Columbia,Hudson City Sd,4,Hudson High School,2022,Economically Disadvantaged,84.5
101300010001,Columbia,Hudson City Sd,4,Hudson High School,2022,White,84.2
101401040005,Columbia,Kinderhook Csd,5,Ichabod Crane Senior High School,2022,White,97.7
101401040005,Columbia,Kinderhook Csd,5,Ichabod Crane Senior High School,2022,Economically Disadvantaged,87.3
101401040005,Columbia,Kinderhook Csd,5,Ichabod Crane Senior High School,2022,Students with Disabilities,93.8
101601040003,Columbia,New Lebanon Csd,5,New Lebanon Junior-Senior Hs,2022,White,91.4
110101040002,Cortland,Cincinnatus Csd,4,Cincinnatus High School,2022,White,95.4
110101040002,Cortland,Cincinnatus Csd,4,Cincinnatus High School,2022,Economically Disadvantaged,89.5
110200010011,Cortland,Cortland City Sd,3,Cortland High School,2022,White,86.5
110200010011,Cortland,Cortland City Sd,3,Cortland High School,2022,Economically Disadvantaged,74.4
110200010011,Cortland,Cortland City Sd,3,Cortland High School,2022,Students with Disabilities,58.0
110304040002,Cortland,Mcgraw Csd,4,Mcgraw Secondary School,2022,White,94.1
110304040002,Cortland,Mcgraw Csd,4,Mcgraw Secondary School,2022,Economically Disadvantaged,85.0
110701060001,Cortland,Homer Csd,5,Homer Senior High School,2022,White,92.1
110701060001,Cortland,Homer Csd,5,Homer Senior High School,2022,Economically Disadvantaged,85.4
110701060001,Cortland,Homer Csd,5,Homer Senior High School,2022,Students with Disabilities,73.7
110901040001,Cortland,Marathon Csd,4,Marathon High School,2022,White,95.3
110901040001,Cortland,Marathon Csd,4,Marathon High School,2022,Economically Disadvantaged,95.0
120301040001,Delaware,Downsville Csd,4,Downsville Central School,2022,White,84.5
120401040001,Delaware,Charlotte Valley Csd,4,Charlotte Valley School,2022,White,68.4
120501040002,Delaware,Delaware Academy Csd At Delhi,5,Delaware Academy High School,2022,Economically Disadvantaged,82.3
120501040002,Delaware,Delaware Academy Csd At Delhi,5,Delaware Academy High School,2022,White,91.2
120701040001,Delaware,Franklin Csd,4,Franklin Central School,2022,White,100.0
120906040002,Delaware,Hancock Csd,4,Hancock Junior-Senior Hs,2022,White,97.0
121401040001,Delaware,Margaretville Csd,4,Margaretville Central School,2022,White,97.4
121401040001,Delaware,Margaretville Csd,4,Margaretville Central School,2022,Economically Disadvantaged,100.0
121502040001,Delaware,Roxbury Csd,5,Roxbury Central School,2022,White,100.0
121601060006,Delaware,Sidney Csd,4,Sidney High School,2022,Economically Disadvantaged,86.2
121601060006,Delaware,Sidney Csd,4,Sidney High School,2022,White,94.9
121701040001,Delaware,Stamford Csd,4,Stamford Central School,2022,White,93.0
121702040001,Delaware,South Kortright Csd,5,South Kortright Central School,2022,White,98.6
