entity_cd,entity_name,year,subgroup_name,grad_rate
061501040001,Silver Creek High School,2022,Economically Disadvantaged,85.2
061501040001,Silver Creek High School,2022,White,93.4
061503040003,Forestville Central High School,2022,White,97.5
061503040003,Forestville Central High School,2022,Economically Disadvantaged,87.1
061601040001,Panama High School,2022,White,98.4
061700010013,Jamestown High School,2022,Economically Disadvantaged,74.0
061700010013,Jamestown High School,2022,Hispanic or Latino,74.1
061700010013,Jamestown High School,2022,White,81.1
061700010013,Jamestown High School,2022,Multiracial,74.6
061700010013,Jamestown High School,2022,English Language Learner,62.4
061700010013,Jamestown High School,2022,Black or African American,67.0
061700010013,Jamestown High School,2022,Students with Disabilities,50.5
062201060003,Fredonia High School,2022,Hispanic or Latino,88.9
062201060003,Fredonia High School,2022,White,95.4
062201060003,Fredonia High School,2022,Economically Disadvantaged,89.6
062301040003,Brocton Middle High School,2022,Economically Disadvantaged,85.8
062301040003,Brocton Middle High School,2022,White,84.6
062601040003,Sherman High School,2022,White,93.1
062601040003,Sherman High School,2022,Economically Disadvantaged,93.6
062901040002,Westfield High School,2022,White,87.6
062901040002,Westfield High School,2022,Economically Disadvantaged,73.0
070600010020,Elmira High School,2022,Economically Disadvantaged,62.5
070600010020,Elmira High School,2022,Hispanic or Latino,62.5
070600010020,Elmira High School,2022,White,77.8
070600010020,Elmira High School,2022,Multiracial,69.8
070600010020,Elmira High School,2022,Black or African American,69.3
070600010020,Elmira High School,2022,Students with Disabilities,60.6
070901060007,Horseheads Senior High School,2022,White,93.4
070901060007,Horseheads Senior High School,2022,Economically Disadvantaged,83.6
070901060007,Horseheads Senior High School,2022,Students with Disabilities,73.2
070901060007,Horseheads Senior High School,2022,Asian or Native Hawaiian/Other Pacific Islander,100.0
070902060002,Thomas A Edison High School,2022,White,86.9
070902060002,Thomas A Edison High School,2022,Economically Disadvantaged,80.7
080101040003,Afton Junior/Senior Hs,2022,White,84.2
080101040003,Afton Junior/Senior Hs,2022,Economically Disadvantaged,66.0
080201040001,Bainbridge-Guilford High School,2022,White,95.7
080201040001,Bainbridge-Guilford High School,2022,Economically Disadvantaged,90.8
080601040003,Greene High School,2022,White,92.3
080601040003,Greene High School,2022,Economically Disadvantaged,97.1
081003040003,Unadilla Valley Secondary School,2022,White,91.1
081003040003,Unadilla Valley Secondary School,2022,Economically Disadvantaged,88.2
081003040003,Unadilla Valley Secondary School,2022,Students with Disabilities,66.7
081200050004,Norwich High School,2022,White,88.7
081200050004,Norwich High School,2022,Economically Disadvantaged,82.0
081200050004,Norwich High School,2022,Students with Disabilities,58.5
081401040001,Otselic Valley Central School,2022,White,95.8
081501040002,Oxford Academy High School,2022,White,92.7
081501040002,Oxford Academy High School,2022,Economically Disadvantaged,94.1
082001040004,Sherburne-Earlville Senior High Sch,2022,White,92.4
082001040004,Sherburne-Earlville Senior High Sch,2022,Economically Disadvantaged,86.3
082001040004,Sherburne-Earlville Senior High Sch,2022,Students with Disabilities,74.9
090201040002,Ausable Valley High School,2022,White,86.1
090201040002,Ausable Valley High School,2022,Economically Disadvantaged,77.6
090301060006,Beekmantown High School,2022,White,92.3
090301060006,Beekmantown High School,2022,Economically Disadvantaged,86.4
090301060006,Beekmantown High School,2022,Students with Disabilities,72.1
090501040002,Northeastern Clinton Sr High School,2022,White,83.7
090501040002,Northeastern Clinton Sr High School,2022,Economically Disadvantaged,71.6
090501040002,Northeastern Clinton Sr High School,2022,Students with Disabilities,59.0
090601020002,Chazy Central Rural Jr-Sr Hs,2022,White,92.0
090901040002,Northern Adirondack Mid/High,2022,White,92.1
090901040002,Northern Adirondack Mid/High,2022,Economically Disadvantaged,80.9
091101060005,Peru High School,2022,Economically Disadvantaged,76.7
091101060005,Peru High School,2022,White,88.3
091101060005,Peru High School,2022,Students with Disabilities,63.8
091200010006,Plattsburgh Senior High School,2022,White,88.6
091200010006,Plattsburgh Senior High School,2022,Economically Disadvantaged,77.9
091200010006,Plattsburgh Senior High School,2022,Students with Disabilities,66.1
091402060005,Saranac High School,2022,White,89.2
091402060005,Saranac High School,2022,Economically Disadvantaged,75.7
091402060005,Saranac High School,2022,Students with Disabilities,51.8
100501040003,Taconic Hills Junior/Senior High,2022,Hispanic or Latino,81.3
100501040003,Taconic Hills Junior/Senior High,2022,White,83.4
100501040003,Taconic Hills Junior/Senior High,2022,Economically Disadvantaged,70.7
100902040004,Germantown Junior-Senior Hs,2022,White,87.2
100902040004,Germantown Junior-Senior Hs,2022,Economically Disadvantaged,85.9
101001040002,Chatham High School,2022,White,95.2
101001040002,Chatham High School,2022,Economically Disadvantaged,85.8
101300010001,Hudson High School,2022,Black or African American,86.7
101300010001,Hudson High School,2022,Asian or Native Hawaiian/Other Pacific Islander,92.7
101300010001,Hudson High School,2022,Students with Disabilities,57.7
101300010001,Hudson High School,2022,Economically Disadvantaged,84.5
101300010001,Hudson High School,2022,White,84.2
101401040005,Ichabod Crane Senior High School,2022,White,97.7
101401040005,Ichabod Crane Senior High School,2022,Economically Disadvantaged,87.3
101401040005,Ichabod Crane Senior High School,2022,Students with Disabilities,93.8
101601040003,New Lebanon Junior-Senior Hs,2022,White,91.4
110101040002,Cincinnatus High School,2022,White,95.4
110101040002,Cincinnatus High School,2022,Economically Disadvantaged,89.5
110200010011,Cortland High School,2022,White,86.5
110200010011,Cortland High School,2022,Economically Disadvantaged,74.4
110200010011,Cortland High School,2022,Students with Disabilities,58.0
110304040002,Mcgraw Secondary School,2022,White,94.1
110304040002,Mcgraw Secondary School,2022,Economically Disadvantaged,85.0
110701060001,Homer Senior High School,2022,White,92.1
110701060001,Homer Senior High School,2022,Economically Disadvantaged,85.4
110701060001,Homer Senior High School,2022,Students with Disabilities,73.7
110901040001,Marathon High School,2022,White,95.3
110901040001,Marathon High School,2022,Economically Disadvantaged,95.0
120301040001,Downsville Central School,2022,White,84.5
120401040001,Charlotte Valley School,2022,White,68.4
120501040002,Delaware Academy High School,2022,Economically Disadvantaged,82.3
120501040002,Delaware Academy High School,2022,White,91.2
120701040001,Franklin Central School,2022,White,100.0
120906040002,Hancock Junior-Senior Hs,2022,White,97.0
121401040001,Margaretville Central School,2022,White,97.4
121401040001,Margaretville Central School,2022,Economically Disadvantaged,100.0
121502040001,Roxbury Central School,2022,White,100.0
121601060006,Sidney High School,2022,Economically Disadvantaged,86.2
121601060006,Sidney High School,2022,White,94.9
121701040001,Stamford Central School,2022,White,93.0
121702040001,South Kortright Central School,2022,White,98.6
121901040002,Walton High School,2022,White,91.7
121901040002,Walton High School,2022,Economically Disadvantaged,92.3
130200010005,Beacon High School,2022,Hispanic or Latino,87.5
130200010005,Beacon High School,2022,White,93.8
130200010005,Beacon High School,2022,Economically Disadvantaged,86.9
130200010005,Beacon High School,2022,Students with Disabilities,77.9
130200010005,Beacon High School,2022,Black or African American,92.8
130502020003,Dover High School,2022,White,87.9
130502020003,Dover High School,2022,Hispanic or Latino,80.6
130502020003,Dover High School,2022,Economically Disadvantaged,78.4
130502020003,Dover High School,2022,Students with Disabilities,55.3
130801060007,Franklin D Roosevelt Senior Hs,2022,White,87.9
130801060007,Franklin D Roosevelt Senior Hs,2022,Hispanic or Latino,84.0
130801060007,Franklin D Roosevelt Senior Hs,2022,Economically Disadvantaged,78.9
130801060007,Franklin D Roosevelt Senior Hs,2022,Students with Disabilities,67.8
130801060007,Franklin D Roosevelt Senior Hs,2022,Black or African American,88.7
131101040004,Webutuck High School,2022,White,91.8
131101040004,Webutuck High School,2022,Economically Disadvantaged,86.1
131201040002,Pawling High School,2022,Hispanic or Latino,81.3
131201040002,Pawling High School,2022,White,98.1
131201040002,Pawling High School,2022,Economically Disadvantaged,88.0
131301040002,Stissing Mountain Jr/Sr Hs,2022,White,91.8
131301040002,Stissing Mountain Jr/Sr Hs,2022,Economically Disadvantaged,86.7
131500010010,Poughkeepsie High School,2022,Hispanic or Latino,65.5
131500010010,Poughkeepsie High School,2022,White,58.1
131500010010,Poughkeepsie High School,2022,Economically Disadvantaged,63.6
131500010010,Poughkeepsie High School,2022,English Language Learner,50.0
131500010010,Poughkeepsie High School,2022,Black or African American,63.5
131500010010,Poughkeepsie High School,2022,Students with Disabilities,50.5
131601060008,Arlington High School,2022,White,95.6
131601060008,Arlington High School,2022,Hispanic or Latino,92.9
131601060008,Arlington High School,2022,Multiracial,81.3
131601060008,Arlington High School,2022,Economically Disadvantaged,85.4
131601060008,Arlington High School,2022,Black or African American,90.6
131601060008,Arlington High School,2022,Students with Disabilities,85.4
131601060008,Arlington High School,2022,Asian or Native Hawaiian/Other Pacific Islander,97.3
131602020005,Spackenkill High School,2022,Economically Disadvantaged,91.9
131602020005,Spackenkill High School,2022,White,96.7
131602020005,Spackenkill High School,2022,Black or African American,100.0
131602020005,Spackenkill High School,2022,Students with Disabilities,92.0
131602020005,Spackenkill High School,2022,Asian or Native Hawaiian/Other Pacific Islander,100.0
131701060002,Red Hook Senior High School,2022,Hispanic or Latino,87.8
131701060002,Red Hook Senior High School,2022,White,95.3
131701060002,Red Hook Senior High School,2022,Economically Disadvantaged,89.1
131701060002,Red Hook Senior High School,2022,Students with Disabilities,95.7
131801040001,Rhinebeck Senior High School,2022,Economically Disadvantaged,86.5
131801040001,Rhinebeck Senior High School,2022,White,94.7
132101060011,Roy C Ketcham Senior Hs,2022,White,94.7
132101060011,Roy C Ketcham Senior Hs,2022,Hispanic or Latino,90.8
132101060011,Roy C Ketcham Senior Hs,2022,Economically Disadvantaged,90.1
132101060011,Roy C Ketcham Senior Hs,2022,Black or African American,95.2
132101060011,Roy C Ketcham Senior Hs,2022,Students with Disabilities,83.9
132101060011,Roy C Ketcham Senior Hs,2022,Asian or Native Hawaiian/Other Pacific Islander,98.4
132101060015,John Jay Senior High School,2022,Hispanic or Latino,86.5
132101060015,John Jay Senior High School,2022,White,96.5
132101060015,John Jay Senior High School,2022,Economically Disadvantaged,87.9
132101060015,John Jay Senior High School,2022,Black or African American,93.3
132101060015,John Jay Senior High School,2022,Students with Disabilities,89.4
132101060015,John Jay Senior High School,2022,Asian or Native Hawaiian/Other Pacific Islander,98.4
132201040005,Millbrook High School,2022,White,97.1
132201040005,Millbrook High School,2022,Economically Disadvantaged,97.4
140101060006,Alden Senior High School,2022,White,95.6
140101060006,Alden Senior High School,2022,Economically Disadvantaged,91.6
140101060006,Alden Senior High School,2022,Students with Disabilities,83.3
140201060002,Amherst Central High School,2022,Economically Disadvantaged,94.0
140201060002,Amherst Central High School,2022,Hispanic or Latino,100.0
140201060002,Amherst Central High School,2022,White,97.3
140201060002,Amherst Central High School,2022,Black or African American,97.2
140201060002,Amherst Central High School,2022,Students with Disabilities,88.4
140201060002,Amherst Central High School,2022,Asian or Native Hawaiian/Other Pacific Islander,100.0
140203060004,Williamsville South High School,2022,White,95.0
140203060004,Williamsville South High School,2022,Hispanic or Latino,100.0
140203060004,Williamsville South High School,2022,Economically Disadvantaged,89.2
140203060004,Williamsville South High School,2022,Students with Disabilities,86.2
140203060004,Williamsville South High School,2022,Asian or Native Hawaiian/Other Pacific Islander,100.0
140203060010,Williamsville North High School,2022,Hispanic or Latino,85.7
140203060010,Williamsville North High School,2022,White,95.6
140203060010,Williamsville North High School,2022,Economically Disadvantaged,79.9
140203060010,Williamsville North High School,2022,Students with Disabilities,73.1
140203060010,Williamsville North High School,2022,Black or African American,88.1
140203060010,Williamsville North High School,2022,Asian or Native Hawaiian/Other Pacific Islander,91.9
140203060013,Williamsville East High School,2022,White,98.2
140203060013,Williamsville East High School,2022,Economically Disadvantaged,94.0
140203060013,Williamsville East High School,2022,Students with Disabilities,85.3
140203060013,Williamsville East High School,2022,Asian or Native Hawaiian/Other Pacific Islander,99.1
140207060006,Sweet Home Senior High School,2022,White,96.5
140207060006,Sweet Home Senior High School,2022,Hispanic or Latino,100.0
140207060006,Sweet Home Senior High School,2022,Economically Disadvantaged,93.8
140207060006,Sweet Home Senior High School,2022,English Language Learner,73.3
140207060006,Sweet Home Senior High School,2022,Black or African American,95.2
140207060006,Sweet Home Senior High School,2022,Students with Disabilities,83.0
140207060006,Sweet Home Senior High School,2022,Asian or Native Hawaiian/Other Pacific Islander,93.3
140301030005,East Aurora High School,2022,White,98.1
140301030005,East Aurora High School,2022,Economically Disadvantaged,88.9
140301030005,East Aurora High School,2022,Students with Disabilities,94.1
140600010056,Frederick Olmsted #156,2022,White,99.1
140600010056,Frederick Olmsted #156,2022,Economically Disadvantaged,96.6
140600010056,Frederick Olmsted #156,2022,Black or African American,98.4
140600010056,Frederick Olmsted #156,2022,Students with Disabilities,86.7
140600010056,Frederick Olmsted #156,2022,Asian or Native Hawaiian/Other Pacific Islander,94.0
140600010097,Buffalo Academy-Vis & Perf Arts,2022,White,95.8
140600010097,Buffalo Academy-Vis & Perf Arts,2022,Hispanic or Latino,89.4
140600010097,Buffalo Academy-Vis & Perf Arts,2022,Economically Disadvantaged,91.4
140600010097,Buffalo Academy-Vis & Perf Arts,2022,Students with Disabilities,90.9
140600010097,Buffalo Academy-Vis & Perf Arts,2022,Black or African American,93.1
140600010098,Mckinley Voc High School,2022,White,80.2
140600010098,Mckinley Voc High School,2022,Hispanic or Latino,84.8
140600010098,Mckinley Voc High School,2022,Economically Disadvantaged,84.5
140600010098,Mckinley Voc High School,2022,English Language Learner,71.3
140600010098,Mckinley Voc High School,2022,Black or African American,85.8
140600010098,Mckinley Voc High School,2022,Students with Disabilities,83.1
140600010098,Mckinley Voc High School,2022,Asian or Native Hawaiian/Other Pacific Islander,89.9
140600010101,Burgard High School,2022,Hispanic or Latino,62.0
140600010101,Burgard High School,2022,Economically Disadvantaged,66.2
140600010101,Burgard High School,2022,English Language Learner,68.4
140600010101,Burgard High School,2022,Students with Disabilities,54.8
140600010101,Burgard High School,2022,Black or African American,64.2
140600010102,City Honors School,2022,White,99.2
140600010102,City Honors School,2022,Economically Disadvantaged,99.1
140600010102,City Honors School,2022,Students with Disabilities,96.7
140600010102,City Honors School,2022,Black or African American,100.0
140600010102,City Honors School,2022,Asian or Native Hawaiian/Other Pacific Islander,100.0
140600010104,Emerson School Of Hospitality,2022,Hispanic or Latino,69.1
140600010104,Emerson School Of Hospitality,2022,Economically Disadvantaged,84.3
140600010104,Emerson School Of Hospitality,2022,Students with Disabilities,73.0
140600010104,Emerson School Of Hospitality,2022,Black or African American,91.2
140600010105,Hutchinson Central Tech High School,2022,White,89.6
140600010105,Hutchinson Central Tech High School,2022,Hispanic or Latino,89.7
140600010105,Hutchinson Central Tech High School,2022,Economically Disadvantaged,89.7
140600010105,Hutchinson Central Tech High School,2022,Students with Disabilities,68.9
140600010105,Hutchinson Central Tech High School,2022,Black or African American,91.0
140600010105,Hutchinson Central Tech High School,2022,Asian or Native Hawaiian/Other Pacific Islander,97.5
140600010110,South Park High School,2022,White,75.4
140600010110,South Park High School,2022,Hispanic or Latino,72.5
140600010110,South Park High School,2022,Economically Disadvantaged,77.5
140600010110,South Park High School,2022,English Language Learner,77.2
140600010110,South Park High School,2022,Students with Disabilities,72.1
140600010110,South Park High School,2022,Black or African American,77.5
140600010128,Leonardo Da Vinci High School,2022,White,93.4
140600010128,Leonardo Da Vinci High School,2022,Hispanic or Latino,97.8
140600010128,Leonardo Da Vinci High School,2022,Economically Disadvantaged,98.0
140600010128,Leonardo Da Vinci High School,2022,Black or African American,94.1
140600010128,Leonardo Da Vinci High School,2022,Students with Disabilities,90.3
140600010128,Leonardo Da Vinci High School,2022,Asian or Native Hawaiian/Other Pacific Islander,98.2
140600010132,Math Science Tech Prep School-197,2022,Hispanic or Latino,54.6
140600010132,Math Science Tech Prep School-197,2022,Economically Disadvantaged,72.1
140600010132,Math Science Tech Prep School-197,2022,Black or African American,72.7
140600010132,Math Science Tech Prep School-197,2022,Students with Disabilities,66.7
140600010132,Math Science Tech Prep School-197,2022,Asian or Native Hawaiian/Other Pacific Islander,93.3
140600010133,Academy School,2022,Economically Disadvantaged,23.9
140600010133,Academy School,2022,Black or African American,24.5
140600010135,Middle Early College High School,2022,Economically Disadvantaged,88.7
140600010135,Middle Early College High School,2022,Black or African American,91.0
140600010135,Middle Early College High School,2022,Students with Disabilities,65.7
140600010140,East Community School,2022,Economically Disadvantaged,65.9
140600010140,East Community School,2022,Hispanic or Latino,53.3
140600010140,East Community School,2022,Black or African American,68.6
140600010141,Lafayette International School,2022,Economically Disadvantaged,86.1
140600010141,Lafayette International School,2022,Hispanic or Latino,68.9
140600010141,Lafayette International School,2022,English Language Learner,82.5
140600010141,Lafayette International School,2022,Black or African American,91.4
